,text,emoji label,emoji std,emoji-less label,emoji-less std
0,記錄之前棚拍幕後花絮還沒發完大概還要再發三篇☺️,1,1.890710473060608,2,1.680933117866516
1,💗泰泰💗新款上架一如既往超極推薦材質超棒有型又好看舒適哪裡找得到🔥🔥大家記得截圖來詢問喔❤️❤️歡迎敲我們👇🏻👇🏻👇🏻🅰️官荒疑難雜症詢問處🅰️專屬📍店址📍台北市信義區永吉路巷弄號,1,2.684772729873657,2,1.039340257644653
2,🔥🔥兩款一樣價錢😇😇店主推介👍直播重溫🎥👇自助快捷網站下單👇戒指手鏈免費改尺寸一次鑽石包順豐速遞荔枝角寫字樓自取付款方式轉數快銀行入數南非鑽石輕奢侈珠寶鑽石製造商批發各大零售商店批發價真金真鑽網購珠寶批發,1,2.9434583187103267,3,2.0776071548461914
3,特別的緣份把大家聚在一起💗,3,2.041357517242432,2,1.2644661664962769
4,♥️鵝子想睡覺在鬧脾氣我老公問他你的小劇場演完了嗎我忍不住笑了🤣老公平時很無聊但他有很幽默的一面夫妻夫妻日常一家三口老公,1,1.9758130311965945,3,1.9187160730361936
5,💙我們兩個大概就是一個願打一個願挨😘,3,2.5010969638824463,2,1.3300598859786987
6,希望善良的人總會在某一得到命運的饋贈晚安🌃,3,1.3301820755004885,1,1.284300684928894
7,紅紋黎喇❤️❤️❤️自己見到都想一條🥺❤️大細都有🤩超高值👍🏻紅紋石功效開發心輪對心肺胸腺功能有幫助解憂鬱助密運喚醒人們心中對愛的需求增加招來愛情的機會可以增進異性緣治療因失戀帶來的痛苦失落抑鬱有助於吸引好朋友接近和招來愛情可以帶來更包容寬恕的心態價錢歡迎查詢順豐到付暫不提供郵寄服務不便之處敬請原諒🙏🏻購物前請留意天然水晶礦石難免會有礦痕冰裂紋雲霧色帶或礦缺等之呈現均屬正常並非為瑕疵品這些並不會影響天然水晶的靈性與功能惟追求完美者請再三考慮後再下單🙏🏻水晶每一個都是獨一無二的他們的大小紋路顏色都會略有不同請您慎重考慮✴️我們的商品都是以實物拍攝上傳但由於拍攝角度技巧或螢幕顯色程度不一若有色差和大小視差均以實物為準門市地址元朗擊壤路號喜利商場樓鋪香港水晶水晶水晶店能量水晶能量治療水晶療癒塔羅天使卡占卜招財愛情健康事業水晶手鏈水晶耳環水晶手串,1,2.434075832366944,3,2.720574378967285
8,❤️我美麗的小公主遇見她真正的王子了要幸福呦🥰🥰🥰再生個小小公主讓我抱😚,1,2.7207605838775635,3,1.2612441778182983
9,特價❤️最後一🟥🔺🔶🟧🔸🟡🟨🟩🟢🔹🔷🟦🟣🟪📲查詢下單🛍️🟧到門市太子聯合廣場-🌈網購滿包順豐😘👉🏻圖查詢便可🤗多種入數方式支付寶戶口🟪🟨記得搶先看🇰🇷🎥記得留意每星期直播🥰韓國女裝,1,2.8143978118896484,2,1.321834921836853
10,太美了啦😍😍😍小麥膚色搭配灰棕色系眉毛好好抗喔❤️❤️❤️嘉霧眉預約嘉義霧眉盈盈老師作品補色,3,2.728026390075684,1,3.036566734313965
11,❤️🐌蝸牛頭,1,2.6084721088409424,2,1.3353887796401978
12,今晚♥️,1,1.4058135747909546,2,1.063634753227234
13,讓你變美是我最重要的事不管外在內在認真對待您的每一刻夢芙美甲美睫熱蠟除毛紋繡身體搶先預約這一秒愛自己開始🌹▪️預約諮詢請用▪️記得加美學概念店竹北美甲新竹美甲美睫手足護理指甲矯正竹北熱蠟熱蠟除毛紋繡新客優惠溫熱捲翹睫毛身體海神敷體肩足之旅優惠活動停車補助周年慶,1,2.4842729568481445,3,2.1752667427062997
14,台灣超能深層去漬凝膠自助下單支支或以上支✂️截單日月日📦到貨日約月尾相信家裡有小朋友👶的媽媽都有一樣的煩惱‼️就是小孩常常把自己搞得很髒👾👾👾不管是吃個飯還是玩個玩具出遊玩都能把自己弄得髒兮兮的😓而結果就是媽媽永遠有洗不完物品等輕鬆打擊髒污去除污漬不傷害衣物👕👔🌿濃縮植物凝膠配方🌿安心不傷手不殘留更不會有討厭漂白水刺鼻味洗完潔淨如新🙌溫合配方天然不傷手給你最安心的好產品❤️軟毛🚿刷頭刷去頑固污漬細小範圍也逃不過快速擠出凝膠短時間深入纖維分解污漬✅海鹽添加萃取天然精華海鹼有效去除汙漬打擊頑強汙垢✅溫和配方天然不傷手非化學洗劑無經皮毒之慮✅溶垢力強易溶於水自然分解無二次殘留有效分解髒汙與油脂✅環保無毒不含壬基酚不汙染大地規格產地台灣保存期限年保存方式請放置於陰涼乾燥處避免陽光直射避免兒童取玩落單👇🏻‼️成功付款後才視為已下單‼️❌已成功付款及已確認的訂單不能取消或更改🙇🏻‍♂️（下單時麻煩請再三確認！感激）🙇🏻‍♀️❌萬一貨品缺貨會全額退款，其他原因都不接受退款喔🙅🏻‍♀️🙅🏻‍♂️❌,3,2.4973886013031006,1,1.8359566926956177
15,一顆壺鈴就可以訓練你的臀部跟著影片中的教練一起做試試看在健身房拿起壺鈴訓練持之以恆就能練出完美翹臀唷🧡免費預約體驗👉🧡官方網站👉🧡成功塑身見證精彩影片集請看這裡👉🧡成功塑身見證精選相簿大集合請看這裡👉已經幫助超過人成功塑身減脂值得您的信賴極度塑身營養師對教練飲食減重,1,1.3579306602478027,2,1.264461874961853
16,彰化燙髮❌女孩最愛的內灣㊗️當月壽星可打折🎂💇🏻‍♀️設計師▫️預約可加☎️🏡彰化市民族路巷號🔅禮拜一公休🤝人才招募中彰化美髮彰化美髮推薦彰化燙髮彰化染髮三管波波燙彰化美甲,3,2.729126453399658,1,2.0377087593078613
17,😈🌂🦄☂️🎆🔮💟就是沒想到我們居然有點默契的都穿了我愛的紫色然後想跟我比雙下巴喔門兒都沒有哈哈哈哈哈哈,1,1.7635071277618408,2,1.7180131673812866
18,🔥日本🇯🇵玩具積木廠商新貨到🔥寶可夢系列積木款式噴火龍水箭龜超夢材質塑膠🌟預購價款共三款款式皮卡丘小火龍傑尼龜妙蛙種子伊布可達鴨材質塑膠🌟預購價款共六款❣️❣️,1,2.1840801239013667,2,1.4982959032058716
