,text,like,love,care,haha,wow,sad,angry
331,"#指揮中心快訊 #疫情說明記者會 #直播
📺12/13 COVID-19 說明記者會預計14:00開始直播

#了解更多關於 #COVID19
⭐️前次記者會影片往這：
https://youtu.be/GgXVmf_Wm4s
⭐️即時字幕影片往這：
https://youtu.be/gHU419VGZ-g
⭐️疾管署嚴重特殊傳染性肺炎專區：http://at.cdc.tw/xP90P0
⭐️有傳染病問題？就讓疾管家來幫忙：https://goo.gl/BUFT1r",356,52,78,3,4,2,13
332,"#衛福編編報報 #台北車站莫德納施打站 #延長至12月21日

指揮中心於臺北車站設立的「莫德納疫苗施打站」將延長開設至12/21，每日的下午1點至晚上8點，請民眾把握時間多加利用，前往臺北車站就可以隨到隨打，接種莫德納疫苗喔！

🔸記得攜帶健保卡，若為施打第二劑者，記得要攜帶第一劑證明的小黃卡喔！",2907,31,43,14,2,1,15
333,"#衛福編編分享時間 #社會安全網 #社區防暴宣講師
#布建社區防暴雷達 #讓反暴力態度在社區萌芽
在公共衛生與醫療體系外，社會福利與保護服務工作領域，也同樣強調 #預防重於治療的觀念！

✏為從前端預防家暴、兒虐與性別暴力事件的發生與再發生，我們近年致力推動各項 #社區初級預防 工作，針對社區重要幹部或在地人士進行系統性培訓，透過他們深入鄰里宣講，以在地語言和生活經驗向社區居民傳達正確防暴觀念、破除暴力迷思，讓 #暴力零容忍 意識在社區扎根，促進社區鄰里正向支持與關懷。

#社區防暴宣講師充電營 #成為社區防暴尖兵
為持續充實、精進宣講師的防暴新知與宣講品質，衛福部委託書香關懷協會於 12/11-12/12 以 2 天 1 夜充電營模式，辦理社區防暴宣講師進修（回流）訓練，共有來自全國 15 縣市、40 位已取得本部社區防暴宣講師證書之社區組織/民間單位重要幹部與人員參加。

✏未來我們將持續辦理宣講師各階段培訓，號召各界有志之士一同加入社區防暴宣講行列，成為社區第一線防暴尖兵，激發社區鄰里共同關心家暴、兒虐、性別暴力問題，發揮社區主動關懷精神與落實通報，讓社安網的連結更加緊密，確保沒有人被遺漏！

#社會安全網 #社區初級預防
❤️關懷 e 起來線上通報求助平台：https://ecare.mohw.gov.tw/
#113保護專線 #1957福利諮詢專線 #1966長照服務專線
#0800013999男性關懷專線 #1925安心專線",447,17,25,0,2,0,6
334,"#衛福編編報報 ⏲發文時間：2021.12.12
❗新增6例COVID-19境外移入確定病例❗
⭐衛生福利部 LINE@：https://lin.ee/24imWWE
⭐衛生福利部 Twitter：https://twitter.com/MOHW_Taiwan

✏中央流行疫情指揮中心今(12)日公布國內新增6例COVID-19境外移入確定病例；另確診個案中無新增死亡。

✏今日新增6例境外移入個案，為5例男性、1例女性，年齡介於10多歲至20多歲，分別自美國(2例，案16843、案16844)、柬埔寨(案16845)、馬來西亞(案16846)、菲律賓(案16847)及印尼(案16848)入境，入境日介於今(2021)年11月26日至12月10日；詳如新聞稿附件。

✏截至目前國內累計16,737例確診，分別為2,092例境外移入，14,591例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計848例COVID-19死亡病例，其中836例本土，個案居住縣市分布為新北市412例、臺北市321例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。

✏指揮中心再次呼籲，民眾應落實手部衛生、咳嗽禮節及佩戴口罩等個人防護措施，減少不必要移動、活動或集會，避免出入人多擁擠的場所，或高感染傳播風險場域，並主動積極配合各項防疫措施，共同嚴守社區防線。

#防疫最前線 #謝謝辛苦的檢疫人員
#謝謝臺灣醫護人員 #謝謝所有第一線人員 #臺灣加油
#2019nCoV
#嚴重特殊傳染性肺炎
#COVID19
#MOHW_Taiwan",1413,16,261,5,7,4,19
335,"我問老公說….
我：老公～為什麼弟弟很喜歡做這個表情？嘴嘟嘟！！
老公說…
老公： 當然啊～看到美女一定要吹口哨啊！！
🤣🤣",49684,1333,141,9686,35,1,0
336,翻照片發現…這個男人竟然在我生產的時候，站在搖滾區淡定的「給我自拍」（白眼翻到頭皮）（你比讚是在拍廣告嗎？）,24949,81,31,16307,169,5,4
337,"坐月子還有小驚喜🥰
老公昨天下班回來買了一頂帽子給我，說因為坐月子不能吹到風😘
（還買了聖誕襪裝在裡面好應景）",25650,520,21,27,5,1,0
338,"我問老公說：弟弟是不是便便了？
老公第一反應直接衝過去「聞」，
下一秒….😂
（當父母的第一反應，應該都是這樣吧🤣）",33412,438,52,6744,22,1,0
339,"出院啦～～🎉 要來好好坐月子了！！

生產完後一切順利真的是滿滿的感恩，其實當父母真的超級不容易，不單是懷孕期間的不適，寶寶出生後更是還有各種挑戰、各種檢查，當然弟弟也很爭氣順利的一路過關斬將，接下來我又要面臨餵母乳的這個大挑戰，餵母乳真的好辛苦😭～
但還是有許多小確幸…在醫院期間還收到了「貝恩」寄來的彌月禮盒，真的太貼心了☺️☺️☺️
貝恩彌月禮盒裡面應有盡有真的很實用！！
裡面還有「嬰兒泡泡香浴露」，已經可以想像到小林萌全身泡泡可愛的樣子了👶，好期待趕快幫他洗澡🛁、還有嬰兒全效護膚膏也很實用，小朋友的皮膚真的要好好保護😘😘😘
接下來就是雙寶媽的日常了，也謝謝大家一路的陪伴，之後也會常常跟大家分享我們所有的快樂，也謝謝許多好朋友送來的禮物🎁，大大感謝！！
這裡也提供禮盒資訊給大家參考呦：
👉彌月禮優惠
https://reurl.cc/L7GxdX
👉貝恩粉絲團 貝恩 來自天然呵護肌膚最自然
👉追蹤貝恩Instagram：baan_taiwan

#貝恩Baan #呵護寶寶體貼媽媽",42533,599,137,3,5,0,0
340,"兒子標準討奶表情～～
（到底是在狠什麼？🤣）",49072,2758,122,1807,30,0,0
341,"初乳真的滴滴皆辛苦😭
弟弟要好好喝奶呦🥰",54552,969,624,16,12,0,0
342,"親愛的寶貝！歡迎你來到這個世界上，成為我們的一家人～
媽媽辛辛苦苦的把你生出來，只希望你未來在這個世界上，可以做一個善良的人，然後開開心心的體驗人生，做一個善良又快樂的人🥰🥰
懷孕過程雖然辛苦，但你也很勇敢的面對這一切，看著你平安健康，這一切都值得😘
（照片是妮妮姐姐偷拍）",87902,6775,664,22,7,2,0
343,"弟弟真的太有哽了～
原本我跟老公說好，生產前要好好準備，洗好頭換好新買的衣服美美的去生產，沒想到我上輩子的小情人就是不讓我跟爸爸約會，直接選中我們認識17週年的這一天，以後這一天變成他的生日，就是不讓我們放閃嗎？🤣🤣🤣

謝謝老公全程陪伴我，進去產房的時候我真的好緊張，上麻藥的時候老公還沒辦法進來，我在神智不清的情況下，一直跟醫生、護士說…
「我老公呢？我老公呢？我要找我老公！！」

等到老公進來後我看到他就整個大哭了，不是因為很痛很辛苦，而是看著他 突然覺得我們一起經歷的事情真的太多了，他全程抱著我給了我很大的勇氣，讓我知道我真的嫁對人了🥰！！

也非常謝謝禾馨民權 婦幼健康中心專業的醫護人員們及黃貴帥（帥哥）醫生，整個過程都非常的順利，環境也真的很舒服，從產檢到生產都在這邊，大家也都很親切讓我非常安心！！
謝謝老天給我的這一切，我會好好珍惜～
也謝謝一直陪伴我們的粉絲們，愛你們🥰🥰",144488,13706,651,139,22,4,0
344,"兒子最近胎動得有點狂，好像一直想要出來！！
乖～你再待一下啦！！快了快了～～",30065,327,227,33,12,0,0
345,"懷孕後期躺著真的很難睡～～
睡一下又失眠、又胃食道逆流，然後再度爬起來坐著，沒想到老公也一起起來了，謝謝老公就這樣陪我一起坐聊天🥰",29592,2131,232,2,4,1,1
346,"防疫期間大家都很努力，台灣疫情也慢慢有了好轉，但有些習慣真的還是要保持好，現在出門還是會習慣性的戴上口罩，然後抗菌噴霧也是從不離身～～

前陣子收到貼心的廠商，送了airDefender氣淨達長效抗菌噴霧讓我試用，看了說明真的覺得很高科技「量子等級的光觸媒」！！

不僅如此～廠商說：氣淨達還有多國實驗室認證，能有效抑制細菌繁殖及抗病毒，防護力長達24小時，即使噴酒精或洗手都不影響功效。😱

廠商也提供了多國知名實驗室測試報告，報告內詳細的紀錄測試方法、採用標準、跟有效保護期間，最近就連新加坡政府也把這款抗菌噴霧產品列在他們的官網上( https://bit.ly/3qDJABA )，真的是讚讚讚👍
(所有測試報告連結 https://bit.ly/2ZRfy25 )

出門前都要記得噴一噴，長效保護24小時，就不用再擔心出門會摸東摸西，病毒沾上身。😎

另外～廠商還提供30天長效型配方讓我用，整個家具、桌面噴一噴，就算日常清潔也不影響效果，長效保護30天，自我預防就更輕鬆💪

快來這裡逛一波： https://bit.ly/3mCgXlM

當然還有給我們粉絲專屬八折優惠折扣碼喔：Nico88",1565,16,0,0,0,0,0
347,"昨天去產檢，醫生說弟弟一直在吃手～
趕快給他一個奶嘴吃一下🤣",15780,194,40,1763,7,0,0
348,"越接近生產越是緊張😓，最近天氣變冷…孕婦因為荷爾蒙心情上上下下，希望生完就沒事了😉～
頻尿 、腰酸、胃食道逆流 全來，第二胎真的不比第一胎輕鬆，每天像帶一顆西瓜出門 ，就算不出門帶一顆西瓜躺也不舒服 ，終於快要卸貨了 ！！
我要更努力☺️",15907,187,358,3,3,1,0
349,"抓到了齁～～～
前幾天老公下班回來，帶了串葡萄給我吃！
我ㄧ吃不得了…是「麝香葡萄」！！
據我所知 這不便宜喔～～
老公….私房錢還有 沒上繳的是不是？！
更新：（老公在留言處坦白了🤣）",28717,232,23,4333,17,3,0
350,"再一個月就可以看到弟弟了！！
姊姊太期待了🥰🥰",41568,1141,216,9,7,0,0
351,每個星期天，都會增加一週 ，已經快33週了，時間好快喔！！離預產期越近 越緊張☺️,25131,442,229,6,6,0,0
352,"謝謝老公😘
現在自己剪不到腳指甲了🤔 ，八個月後大好快喔～～寸步難行 ！",31309,597,218,9,10,1,0
353,"🎃萬聖節🎃快樂！
好好笑唷！可愛的小缺牙，牙助👻",5152,42,7,2005,8,0,0
354,"是萬聖節最新裝扮嗎？！☺️
妮妮：我是吃火龍果啦
好應景，萬聖節快樂",9731,39,3,1561,22,0,0
355,"八個月了！好緊張～～
準備要跟兒子見面了，再一個多月🥰🥰🥰",50047,882,423,14,13,0,0
356,"天啊！！出門一下腰痠到不行…
肚子感覺像藏了一顆西瓜，真的沒有用托腹帶腰感覺快斷了😱",20113,192,421,6,22,0,0
357,"老公剛剛看我穿這樣他說…
Kim: 好可愛哦～～好像企鵝🐧
我：…..會不會聊天啊！！
（你全家才企鵝！ㄜ…全家就是….我家😂）",19446,200,40,3959,13,0,0
358,"懷孕七個月了！！想跟自己的「腰」說聲「加油」💪
（到底是躺到檸檬還是怎樣，怎麼那麼酸😭）",15076,122,1588,51,12,5,0
359,"出門好習慣☺️☺️
妮妮從小就有一個好習慣，就是出門都會帶一個小包包，而小包包裡有一個必備的好東西就是「濕紙巾」，因為出門有帶濕紙巾真的非常實用，不管是到公園、餐廳還是野餐都是不可缺少的！！
這一次很巧我們剛好收到「舒潔兒童淨99抗菌濕巾」的試用邀請，因為其實我們本來也就都會買舒潔品牌的濕紙巾，而這次更特別的是這一款「兒童淨99抗菌濕巾」，是舒潔專為兒童設計、低敏配方的抗菌濕巾喔！！尤其外出小朋友總愛摸東摸西容易把細菌帶著走，如果不小心造成病從口入的危機就真的太可怕了😱，所以隨時做好抗菌、清潔真的很重要，加上是低敏配方，所以使用起來真的更安心🥰🥰🥰🥰

產品本身有通過皮膚科測試溫和抗菌不咬手、不含酒精、螢光劑及PARABEN類防腐劑，清潔抗菌才更安心👍
而且舒潔淨99系列經國際機構認證， 99.9%有效對抗六大細菌，安心有保障😎

尤其現在非常時期，乾淨、衛生真的非常重要，還有出門在外有難免有些會接觸到的地方，真的都還是自己擦過一遍比較安心！！

最後再跟大家說一個笑話..就是我們家老公「Kim」是一個很有潔癖的人，以前出門他也都會有帶一包濕紙巾的習慣，但是他沒有帶包包的習慣，所以濕紙巾都會放在屁股後面的口袋，然後他常常都會忘記把濕紙巾蓋好就放回口袋，所以褲子後面就會莫名濕一塊😂😂
不過自從妮妮帶了包包後，因為妮妮出門都會記得帶濕紙巾，所以才改善了爸爸偶爾會發生的尷尬場面，果然還是上輩子的小情人貼心呀🤣

「舒潔兒童淨99抗菌濕巾」現在在7-ELEVEN也可以買到，即日起推出「買一送一」活動，大家趕快囤起來喔！！
不想出門線上通路也可以直接購買👉https://pse.is/3mfmt9
舒潔Kleenex
#舒潔 #Kleenex #淨99抗菌濕巾 #淨99兒童抗菌濕巾

@兩位朋友，並和我分享你何時會想用舒潔淨99抗菌濕巾，就有機會抽中「舒潔淨99防護大禮包」一份喔!
(含淨99系列濕巾及舒潔口罩，價值$750/份，共計三位)",10858,91,11,2,2,0,0
360,感謝妮妮翻著白眼幫我們兩老拍這張美照🥰🥰,22379,312,24,428,4,0,0
361,"「製造儀式感的好物」
某天突然很想吃「日式烏龍麵」，我們的林大廚真的越來越神奇了，除了自己煮了一碗超級道地的日式烏龍麵外，最讓我驚艷的其實不是麵…
是他特別佈置的「榻榻米」，真的不誇張…
榻榻米一鋪下去我感覺連機票錢都省了，就直接一秒到日本🇯🇵！！

沒錯！因為這個「榻榻米」真的就是來自日本，它是來自日本大島屋株式會社~
「日本大島屋株式會社」特別強調： 100% 純天然藺草鋪面製成，純天然無毒的環境生產，採用日本最優等加工料、專業日本匠師監製/製作 Product of Japan「 #安全宣言」認證背書、遵循「聯合國永續發展目標SDGs」標準、高度 防音 抗噪，達 LL(I) 5等級(經日本ΔL等級認證)好收納、抗菌、除臭、日本認證高度防音的「大島屋四折式地墊」！！🥳

我想真的就是因為這個榻榻米才讓整碗烏龍麵都道地了起來吧😂😂

而且自從他榻榻米鋪下去的那天起，我們真的就完全不想收起來了，因為太好用了～～
我們除了會在上面做運動、休息、看書，還會陪妮妮一起在上面玩遊戲，因為它是可折疊式的，所以可搭配空間快速展開，有多種使用形式，而不須使用時也可以折疊收起，可當作坐墊、 躺墊、睡墊、活動墊，甚至老公常常還會買一些日本的零食、甜點、小吃回來，有時晚上再搭配日劇整個過足好一陣子想出國的癮！！
某一天他還買了小火車跟迴轉壽司，全家在榻榻米上面吃著日式風味的食物真的超有fu～～～
🗼🏯🍡🍱🍣🍜🍥
本篇按讚、分享+留言，有四個幸運名額可能會抽中榻榻米或枕頭喔🥰

有興趣的粉絲來訂機票嘍（誤）～不是啦..
是榻榻米啦😂：
追蹤粉專👉https://www.facebook.com/ooshimaya
【桔禾創意 X 日本大島屋株式會社 嘖嘖募資上線囉】
嘖嘖：https://zecz.ec/3iFVZzS
＃四折式天然藺草榻榻米地墊
＃來自日本大島屋株式會社 ＃日本匠人工藝
＃桔禾創意 ＃嘖嘖募資中 ＃天然抗菌 ＃摺疊好收納 ＃單片多片都好用",4924,37,4,2,4,0,0
362,"懷孕七個月這樣肚子算大嗎？！
但腰好酸😅
（前幾天的工作照）",29364,256,80,8,10,0,1
363,"開啟連假模式，收到了
蘇怡寧醫師愛碎念
這本很適合 孕期有很多疑問，又搞超煩的我
超實用😀安心不少!!
禾馨民權 婦幼健康中心",5313,36,5,1,1,0,0
364,今天去產檢，弟弟又不給看😜接下來兩週一次.一週一次，然後就要跟弟弟見面了🥰好期待！,22956,395,141,5,2,0,0
365,滿7個月的胎動，弟弟開心開派對🎉🥰,12970,370,65,31,30,0,0
366,"妮妮說跟媽媽走在一起，背這個肚皮腰包就不尷尬！！
因為可以陪媽媽一起挺著肚皮走路～～🥰",37325,952,99,1592,15,2,0
367,"太可怕了！！老公差點被我逐出家門～～～
（虛驚一場）
早上起來看到手機通知，凌晨三點竟然刷卡18萬！！
我想說結婚週年雖然快到了，但房子剛買下去、兒子又即將出生，他竟然給我大手筆刷卡？！
結果問了老公後他整個熱狗問號？？說不是他刷的！！！
趕緊打去銀行後了解…竟然是被盜刷！！！
啊～～～～晴天霹靂！！

不過還好..還好…信用卡機制及時阻止了這一比交易，真的是的虛驚一場😭😭
於是我趕快辦理停卡後剪卡，然後想說趕快告訴大家這個消息，請大家務必也要注意自己的信用卡刷卡機制等等！！
不然18萬真的刷下去，我老公可能要去美髮店兼差好一陣子了😂",19358,22,23,2169,4199,19,12
368,"某天老公說 「好腰力美容院」要公休一天，原因是因為他要特別帶我去做頭皮護理，順便增進他的專業技術，於是就帶我到了「DR CYJ 髮胜肽健髮中心 」！！

一走進去才發現原來這邊也是健髮中心，所以就先做了頭皮檢測，不過還好老公幫我顧得很好，頭皮狀況很健康只是有些容易出油，經過專業儀器評估完頭皮狀況後，馬上就安排了超級舒服的洗髮，老公也很認真在旁邊偷學😂😂～

除了洗髮真的很舒服，其實這邊針對每個人的頭皮狀況，也都會安排不同的護理方式和課喔！！
這次我是體驗針對產後孕媽咪的保養護理喔！
都市傳說生產前認真做頭皮護理去角質，坐月子頭皮狀況會比較好也比較舒服～～🥰

所以這次來這邊真的是收穫滿滿，我整個非常享受的渡過一個美好的下午，Kim也像是上了一堂專業養髮的靜修班，我相信經過這樣專業的觀摩，老公也會更了解我的頭皮狀況，林老闆回去後肯定又更上一層樓啦～～～
（但..我下次還會想去這裡保養欸😂）

這麼舒服的課程，Nico 也幫粉絲爭取團購價
團購共有三個熱門的健髮課程
(1)經典頭皮護理/孕期(又名頭皮美容)
✅適合對象:保養/維持頭皮健康或孕媽咪
(約60分鐘)

———————————————————
(2)進階健髮課程 (頭皮老化最愛)
✅適合對象:微稀疏/老化/產後/男女生
(約90分鐘)

———————————————————
(3)進階頭皮保濕課程 (又名頭皮玻尿酸)
✅適合對象:重度稀疏／頭皮乾,癢,屑,老化/加強保濕
療程(約90分鐘)
1.頭皮檢測
2.胜髮SPA洗髮
3.肩頸紓壓
4.K5專利超胜肽導入
5.光波保養(黃光)
6.頭皮健康分析

(手刀報名）
https://forms.gle/GphXkD1FLyLdn3VLA

特別爭取抽獎🎉名額共五名！
！趕快來分享+留言+👍
抽獎課程:經典頭皮護理/孕期課程(原價$2900)
✅適合對象:保養/維持頭皮健康或孕媽咪(約60分鐘)

#DRCYJ健髮中心
#頭皮養護專家
#頭皮檢測
#產後頭皮護理
#頭皮護理",6310,57,4,7,4,0,0
369,"中秋月圓，肚子圓😹～～
中秋節快樂🎑
#孕期7個月",21611,265,63,13,3,0,0
370,"那天看到網路一段話分享很有感覺～
「不要總是感謝請你吃飯的人，忘了感謝每天為你煮飯的人！！」
謝謝老公每天煮好吃的給我們吃🥰",16067,200,25,6,2,0,0
371,"中秋假期嘴甜不會胖😂

Kim: 老婆～這好美 拍張照！
我：不要啦！這裡廁所門口欸！
Kim: 我說的是妳😎
我：…….
（然後我就拍了😂）",11411,106,9,1295,6,1,0
372,今天帶孕婦來散步～媽媽交代要多走走不能一直躺著😘，妮妮視角妮妮懂拍🥰,18225,206,27,7,5,1,0
373,"7-11居然販賣糖葫蘆😘！！真是讓我驚艷🥰～
然後發現口感很可以，果然弟弟也很喜歡💕，吃完立馬來個明顯的胎動😙迴旋踢😂",11755,92,6,71,169,0,0
374,"剛剛打了一個噴嚏 ，然後肚子就抽筋了一大下！！
整個有一種被電到的感覺😭，然後我大叫了一聲之後就大哭了！！
妮妮跟老公嚇了一大跳～
哈哈哈哈哈😂
孕媽咪們也會打噴嚏的時候，肚子抽筋嗎？！",26205,235,436,129,123,9,0
375,"今天去喝糖水檢查～真的無法一口氣喝完一大杯！！分了4、5次10分鐘內飲用完畢，喝完超想吐🤢
等了2個小時 …然後一切過關所以一切值得🥰
進入中後期了～ya 孕媽咪辛苦了😸",28033,262,385,5,10,3,0
376,過2天要妊娠糖尿病篩檢，好緊張😓 聽說是大魔王，要注意什麼啊？！距離上次已經7年前 都忘記了🤣謝謝妮妮幫我紀錄六個月的孕肚🥰,23747,310,108,14,2,0,0
377,"我紀錄懷孕、妮妮紀錄掉牙～
小林萌紀錄房子肚皮像甜甜圈🥰🥰",35297,449,48,73,2,0,0
378,"老公說慶祝懷孕六個月，所以難得出門用餐🥰
行動越來越吃力了，肚子有點大～～～～",38206,447,131,5,4,0,0
379,"懷孕有一個媽媽們都非常害怕的東西，就是…妊娠紋😱！！！

因為懷孕的過程肚皮在短時間內快速被撐大，經歷過這樣的過程後肚子就容易產生妊娠紋，雖然有人說妊娠紋跟遺傳有關，但除了遺傳的可能性，我們唯一能做的就是事前的保養，我相信只要有保養肯定會有幫助的～～
所以這一次我是從懷孕很初期就開始擦緊緻精華油，但是大家也知道懷孕初期還有一個可怕的改變…就是嗅覺😵，懷孕初期對味道是最最最敏感的時候，早就試用過市面上很多很多的精華油，很多味道真的都讓我非常受不了，但剛好某天「貝恩」寄來一份緊緻系列禮盒公關品給我試用，禮盒裡面有撫紋緊緻精華油、美體撫紋霜、乳頭修護霜！！
收到後當然很開心的想要馬上打開來試用，但還是非常擔心味道會受不了，所以我真的是抱著期待又害怕受傷害的心情打開「貝恩撫紋緊緻精華油」，沒想到它的味道…我竟然可以🥰🥰🥰

貝恩撫紋緊緻精華油味道不會太濃郁，淡淡的香味有種舒服放鬆的感覺，擦上去感覺很好吸收也很保濕，重點也不會太油膩～因為我也非常不喜歡肚子一直油油的感覺，所以這罐我每天都會非常準時的擦！！

但其實懷孕後記憶力真的有點（差）…😂
所以每天都是我的神隊友….「妮妮」幫我擦的！因為老公也是金魚腦🤣，所以我真的非常感謝妮妮都會準時記得幫我擦緊緻精華油，而且妮妮也很喜歡這個味道，妮妮說這個味道讓人有種舒服想睡覺的感覺，所以每天睡前也都會幫我擦，妮妮還形容這個味道是一種「可以做好夢的味道」😚，真的很會形容～

有跟我一樣懷孕的粉絲們，如果妳也還沒找到適合自己的精華油，可以來試試看呦～😘

最後這篇如果有按讚、分享、留言，會抽出兩位幸運的粉絲，有機會獲得「貝恩緊緻精華油50ml」😍

#貝恩 #源自德國專業品質 #貝恩緊緻系列 #孕肌呵護好閨蜜 #小粉瓶 #3滴修護超有感",14668,179,27,4,7,0,0
380,現在看他們父女倆放閃很高興，我心境已經不同了，因為到時候就換我跟兒子了😂😂,28236,292,30,966,3,0,1
381,"有趣的古早味開箱，妮妮反應太可愛了🥰
【開箱古早味零食｜【那對夫妻2.0】Nico&Kim&Nini】",3307,19,4,55,0,1,0
382,肚子一天比一天大，胎動也越來越明顯，弟弟在肚子裡已經可以感受到他活潑的程度不輸老爸了😂😂,68433,1535,245,90,17,0,0
383,"你們兩個去玩桌遊啦～～
一直對著我的肚子聊天，我的肚子上面都是他們的口水😂😂",21995,270,44,6042,20,0,0
384,"大家七夕情人節快樂🎉❤️，

祝福大情人，小情人，身體健康
平安喜樂👨‍👩‍👧‍👦",21326,322,17,2,3,0,0
385,"老公你們在放閃啊～～～換我嘍🥰🥰🥰
我的小情人來了！！😂😂😂😂
我可以跟他說「最幸福的門」是「我們」了～",57378,3328,160,255,12,0,0
386,"超滿足！！！
剛剛突然肚子餓想吃一點清淡的，老公說冰箱有明天要煮的絲瓜蛤蜊，然後我剛好真的好想吃絲瓜蛤蜊！！
於是老公就馬上去幫蛤蜊吐沙+料理，過了一個多小時後～～一道超級好吃的「絲瓜蛤蜊湯」就出現 在我眼前！！
重點是…他竟然幫我把所有的蛤蜊殼都去掉了！！！！！！ 天啊～～真的好貼心哦🥰🥰🥰🥰
好吃、滿足到肚子裡的寶貝都感受到有胎動啦😘😘😘",48351,1514,87,20,20,0,0
387,"妮妮昨天超可愛，因為她想去看小林萌，就問我說…
妮妮： 媽媽～ 我們什麼時候還要去照
「超音光波」？！
哈哈哈哈哈哈～
是「動感光波」的一種嗎？！😂😂",14557,190,17,2598,5,0,0
388,"老公 父親節快樂～～🥰🥰
明年的父親節就由 小林萌 幫爸爸臉上空白的部分填滿嘍～～😂😂",13636,77,15,2423,21,1,0
389,"天啊～我是嫁給廚師嗎？！
也太好吃🥰🥰🥰🥰🥰🥰",32200,478,31,37,15,0,1
390,"前天打完第二劑疫苗後，就像醫生說的出現了發燒、全身痠痛、頭痛、四隻無力….的這些正常的反應😭

然後整天都沒精神，還好有老公和妮妮兩個無微不至的照顧，昨天老公下午有廣告要拍攝，前一天晚上我的體溫一直偏高，結果老公整個晚上都沒什麼睡，每隔一下子就幫我量額溫，直到體溫慢慢降下來才休息一下！
然後妮妮也會一直拿水給我喝，因為醫生說需要多補水才能退燒～

還好這些症狀持續了一天多而已，也謝謝妮妮跟老公，今天終於舒服多了🥰🥰🥰🥰🥰",10131,178,163,1,4,1,0
391,"吃完林大廚的晚餐，好滿足！！
連肚子都鼓起來了～～
喔…我是懷孕🤣🤣",28840,841,119,227,7,0,0
392,"老公說我今天唇色很好看，問我是哪一個牌子的口紅？幾號色？！
我說….
.
.
.
.
.
.
.
.

是火龍果色🤣",13148,146,14,2543,16,0,1
393,"有一種貼心叫做「Kim」～

昨天凌晨肚子有點不舒服，起來上廁所被Kim發現，後來也沒說什麼就先去睡覺了，沒想到今天早上起床，他跟我說他已經煮好了鹹粥🥰🥰🥰

真的很喜歡他這種生活中的貼心，也難怪妮妮總是那麼貼心😘😘",23904,928,66,8,3,0,0
394,"公開大素顏啦！！！
這次我們夫妻兩要來做一個超級大膽的挑戰，
除了全程素顏挑戰尺度外🤣，真實紀錄了七天實測來自日本頂級的「meeth碳酸護膚面膜」，大家一起來看看這七天我們的膚質變化，真的有讓我驚艷到欸～～～～

#夫妻宅保養挑戰
#夫妻肌膚升級名模肌✨
新會員滿5000現折500元
粉絲限定優惠> https://meethtaiwan.pse.is/3hsmt9

#分享影片抽好禮
1.活動規則：按讚分享影片＋@1位好友留言影片中最吸引你的面膜效果，範例：「@好友帳號 我想改善肌膚暗沉問題」
2.活動時間：7/20-8/20
3.活動獎品：5名meeth碳酸護膚面膜3日份(價值2000元)
4.得獎公告：8/23前公布(留言區），收到得獎資料後約7個工作天內寄送(限台灣本島)

#meeth #碳酸護膚面膜 #完美肌膚就是最好的珠寶
meeth taiwan",1691,29,2,1,0,0,0
395,"越來越喜歡洗頭了～～～
因為是老公幫我洗🥰🥰🥰🥰🥰",19406,620,50,97,3,0,0
396,"今天去做羊膜穿刺！！
好緊張～～～還好醫生很專業🥰
一切順利回家休息☺️",25046,413,219,2,4,0,0
397,孩子不管到幾歲都是父母永遠的寶貝，不知道為什麼…每次妮妮在我身上睡著我就會有一種成就感，可能是我也感受得到她在媽媽懷裡的那種安全感，所以真的很喜歡妮妮賴在我身上睡著的的感覺🥰🥰,34998,2146,78,11,7,0,1
398,"記得在幾年前就已經認識「好鄰居」了，我們也實際透過「資助兒童計畫」有定期的捐款，
也讓妮妮一起參與並了解這個計劃的意義和目的，而這個一對一的資助關係，透過兒童的書信，即使不能相見也能對資助童有更多認識，希望能透過這個計畫盡我們的一點微薄之力來幫助他們，也希望妮妮未來也可以當一個熱心助人的人！！

好鄰居是獲得聯合國認可的國際非營利組織，主要幫助弱勢兒童並看重兒童權利公約的宣導。
地球村就像個大家庭，生活在各個角落的人們都是我們的左鄰右舍，希望可以藉由這個計劃傳遞出更多的愛心🥰

也邀請大家也可以帶著孩子一起參與公益、分享愛心，幫助海外的弟弟妹妹，讓他們可以上學、衣食無虞健康長大!

邀請大家一起響應台灣好鄰居的資助兒童計畫：https://donate.goodneighbors.org.tw/civicrm/contribute/transact?reset=1&id=4

#台灣好鄰居、#GoodNeighbors、#資助兒童計畫",27416,262,37,4,9,0,0
399,產檢Look~,19190,254,99,2,4,1,1
