,text,emoji label,emoji std,emoji-less label,emoji-less std,difference
0,時間真的過的好快我在富邦滿一年了🥺想當初剛踏入富邦的時候還是一個小男孩👦🏻這一年發生了好多的事情用了半年的時間晉升業務主任謝謝一直協助我的學長姐由衷感謝一路支持我的家人和朋友❤️從一開始一個人🙋🏻‍♂️到現在有三個夥伴陪著我一起努力我們都希望可以讓工作更有價值☀️順良的業務生活相信每個選擇都是最好的安排富邦人壽高慶通訊處,1,2.910353899002075,1,2.9208545684814453,-0.010500669479370115
1,和你們在一起可以短暫的忘記煩惱❤️我的都是你們最後一張不要看六弦吉他社黑色安息日台灣小吃部十年後收聽,1,3.0670721530914307,1,3.072645425796509,-0.005573272705078125
2,最近的生活連照片都用去年的🥲我還是大學生吧,1,1.4450777769088743,1,1.4320573806762695,0.013020396232604758
3,如果你不知道想往哪走那麼選哪條路都沒有關係🏷️這裡非常美而且還是臺灣菸酒工廠古蹟改造成的美術館還是完全🆓附近還有文化創意園區推推✌🏻🏷️很棒的下午茶餐廳裡面也很美好拍又好吃🤍🏷️嘉義景點嘉義美食嘉義嘉義甜點嘉義美術館嘉義咖啡廳嘉義木木彡,2,2.0153110027313232,2,1.7315475940704346,0.2837634086608887
4,歡迎來到我家誤📍屏東涼山遊憩區📌屏東縣瑪家鄉涼山村涼山號🎫假日平日🚗次⏱️屏東屏東景點涼山瀑布涼山遊憩區哈比屋歐歐踢滴瑪家鄉景點瑪家鄉,1,3.5047731399536133,1,3.3225040435791016,0.18226909637451166
5,潮廬玖壹壹洋蔥一日店長活動相信洋蔥的粉絲們都有看到他在極島冒險中的廚藝表現本週五他將在自己的滷味店駐店啦❤️屆時讓他展現在蘭嶼特訓的餐廳經營成果唷時間月日星期五-到時候也會開放拍照唷照片擷取自極島冒險粉專,1,3.257845401763916,1,3.432656526565552,-0.1748111248016362
6,週年快樂✨💓這麼快就年了去年還是前幾天才入坑呢原來已經飯了年多文檔好像變了我生活中的一部分可能變成習慣現在追文檔沒有當初的熱誠我還是有持續關注他們的啦這年生活學業比較繁忙🤏🏻剛開始每天都更現在幾乎除了出應援也沒怎麼更過我相信自己在年會找回我的動力的還是比較想把學業放得重一點謝謝文檔的出道🥺🤍就是飯了他們所以做了很多沒接觸過的事情還有認識了超級多朋友我還是一樣的愛文檔愛你們💕💛最後還是強調週年快樂哈哈哈哈💛💙,1,3.1730706691741943,1,3.057636260986328,0.1154344081878662
7,第一次看到以仙人掌為主的植物園真的是種類繁多啊看著這些多肉植物真的很療癒🌵🌳🌿🌴,1,1.0366798639297483,1,1.2815721035003662,-0.2448922395706179
8,期待下個月的手手👋🏻,1,2.129727602005005,1,0.8071878552436829,1.322539746761322
9,❤️本來想說唱歌帶小孩好麻煩不想出門的為了妳一句話立馬整理出門陪妳😚跟我的美湘還有可愛的妤為了妳隨傳隨到唱歌好舒壓最後附上影片我的女兒是小葵我是媽媽,1,1.8700966835021973,1,2.124674797058105,-0.25457811355590776
