,text,emoji label,emoji std,emoji-less label,emoji-less std
0,能勇敢追夢的人身上都閃著和煦的光芒也是好生羨慕敬那天一起看的夕陽真希望哪天能一起去看極光,1,2.7881431579589844,1,2.7881431579589844
1,記錄之前棚拍幕後花絮還沒發完大概還要再發三篇☺️,1,1.890710473060608,2,1.6809331178665161
2,時間真的過的好快我在富邦滿一年了🥺想當初剛踏入富邦的時候還是一個小男孩👦🏻這一年發生了好多的事情用了半年的時間晉升業務主任謝謝一直協助我的學長姐由衷感謝一路支持我的家人和朋友❤️從一開始一個人🙋🏻‍♂️到現在有三個夥伴陪著我一起努力我們都希望可以讓工作更有價值☀️順良的業務生活相信每個選擇都是最好的安排富邦人壽高慶通訊處,1,2.910353899002075,1,2.9208545684814453
3,和你們在一起可以短暫的忘記煩惱❤️我的都是你們最後一張不要看六弦吉他社黑色安息日台灣小吃部十年後收聽,1,3.0670721530914307,1,3.072645425796509
4,最近的生活連照片都用去年的🥲我還是大學生吧,1,1.4450777769088745,1,1.4320573806762695
5,如果你不知道想往哪走那麼選哪條路都沒有關係🏷️這裡非常美而且還是臺灣菸酒工廠古蹟改造成的美術館還是完全🆓附近還有文化創意園區推推✌🏻🏷️很棒的下午茶餐廳裡面也很美好拍又好吃🤍🏷️嘉義景點嘉義美食嘉義嘉義甜點嘉義美術館嘉義咖啡廳嘉義木木彡,2,2.0153110027313232,2,1.7315475940704346
6,歡迎來到我家誤📍屏東涼山遊憩區📌屏東縣瑪家鄉涼山村涼山號🎫假日平日🚗次⏱️屏東屏東景點涼山瀑布涼山遊憩區哈比屋歐歐踢滴瑪家鄉景點瑪家鄉,1,3.5047731399536133,1,3.3225040435791016
7,潮廬玖壹壹洋蔥一日店長活動相信洋蔥的粉絲們都有看到他在極島冒險中的廚藝表現本週五他將在自己的滷味店駐店啦❤️屆時讓他展現在蘭嶼特訓的餐廳經營成果唷時間月日星期五-到時候也會開放拍照唷照片擷取自極島冒險粉專,1,3.257845401763916,1,3.4326565265655518
8,我從來都不害怕失去你因為我從未擁有過你一秒,2,1.1100744009017944,2,1.1100744009017944
9,週年快樂✨💓這麼快就年了去年還是前幾天才入坑呢原來已經飯了年多文檔好像變了我生活中的一部分可能變成習慣現在追文檔沒有當初的熱誠我還是有持續關注他們的啦這年生活學業比較繁忙🤏🏻剛開始每天都更現在幾乎除了出應援也沒怎麼更過我相信自己在年會找回我的動力的還是比較想把學業放得重一點謝謝文檔的出道🥺🤍就是飯了他們所以做了很多沒接觸過的事情還有認識了超級多朋友我還是一樣的愛文檔愛你們💕💛最後還是強調週年快樂哈哈哈哈💛💙,1,3.1730706691741943,1,3.057636260986328
10,第一次看到以仙人掌為主的植物園真的是種類繁多啊看著這些多肉植物真的很療癒🌵🌳🌿🌴,1,1.0366798639297485,1,1.2815721035003662
11,一個月後就可以回歸了以往不一樣的形式翊宏車業刺蝟開發赤道川歐力士鯊魚鯊魚工廠新雅部品勁戰四代目北宜北宜追焦絕影渣到沒朋友速究極山道閃電,1,2.888761520385742,1,2.888761520385742
12,期待下個月的手手👋🏻,1,2.129727602005005,1,0.8071878552436829
13,❤️本來想說唱歌帶小孩好麻煩不想出門的為了妳一句話立馬整理出門陪妳😚跟我的美湘還有可愛的妤為了妳隨傳隨到唱歌好舒壓最後附上影片我的女兒是小葵我是媽媽,1,1.8700966835021973,1,2.1246747970581055
14,又是個當地陪的行程☺️意外來到我覺得很值得去的地方心之芳庭竟然還有園區闖關算是我第一次玩類似密室逃脫的遊戲真的很酷但我覺得好加在不難但是需要花時間解題的👍🏼還蠻想再挑戰更難一些的關卡😗台中北屯心之芳庭,1,2.4511568546295166,1,2.8187313079833984
15,金刻彩手捏酒盃陶器金刻彩酒盃山内駿京都,4,0.22733604907989502,4,0.22733604907989502
16,這才看清楚愛情的模樣都多虧了你誰也不知道愛情的壽命會到哪裡告終可是我總想著假若你我終不歸屬於彼此我也由衷希望你能夠永遠幸福安康我所遇見過最美好的人類情人節快樂李組長看到花眉頭一皺表示鬱金香那麼多顏色為何挑白色他委屈巴巴回我因為是白色情人節啊,1,1.401921033859253,1,1.401921033859253
17,水藍色情人❤️好聽每天遍可以嗎🤣永遠的第一名第二名的逆襲周書逸高仕德楊宇騰楊宇騰林子閎最後那個笑聲還有那句可以啦😊好可愛啊這笑聲有魔力為了看直播犧牲午睡😏沒看完上班去,3,2.3896713256835938,3,2.236128568649292
18,引路官將首將首引路童子引路跳將鹿港鎮安宮入火安座人像攝影,1,0.40896081924438477,1,0.40896081924438477
19,不知不覺開幕一週了😳感謝每個來找我的朋友還特別從北部下來店裡忙到沒辦法好好招待大家目前評價都不錯😳真的很感謝大家努力經營💪菁米,1,3.0303590297698975,1,2.810612678527832
20,今天菜單各組組腿痛就練核心核心痛就練手手痛就練背每次練完肚皮後吃飯都不知道是胃痛還是肌肉緊繃的痛🥲總之覺得痠痛,1,2.0338361263275146,1,1.8932631015777588
21,🦋被遺忘的翅膀🦋被遺忘的牠努力的找尋家也流下了淚水💧但我相信有天牠會找到的曾聽說沒成功是因為努力的不夠以上是想賦予給妝容的故事本來是看著別人的妝畫結果越畫越不一樣就決定改版一下就成這模樣了我還滿喜歡的😊查看更多妝容👉🏻眼妝眼妝分享特殊妝美妝彩妝化妝彩妝蝴蝶翅膀翅膀妝容蝴蝶妝容造型💋👈🏻,1,1.2780156135559082,1,1.536210536956787
22,大學最後一年圓個大一的小夢想感謝有氧陪伴員兼上色小助理五月成吉還你一面牌📷,3,2.154674768447876,3,2.14919376373291
23,🩰💗✨朋友篇花紛飛飛滿天謝謝可愛的妳們一起完成這首舞感謝這些時光讓我們感情更好☺️妳們真的都是一群好可愛的小孩😋我的舞蹈路上有妳們真幸運啊🥰愛死妳們了尤其是妘芮品貞寶貝💓,3,2.610527753829956,3,2.2019426822662354
24,等咗好耐啦🧔🏻男人的玩具🎮聖誕🎄新年🧧生日🎂一炮過還番比自己🎁黑白世界口罩下的日子口罩下的日常毒男生活毒男日常毒大叔系生活日常,1,2.446491003036499,1,2.280851364135742
25,林一嗅好會拍偷偷當一天小仙女,1,1.6001098155975342,1,1.6001098155975342
26,春夜晚風,1,1.3406022787094116,1,1.3406022787094116
27,特別的緣份把大家聚在一起💗,3,2.0413575172424316,2,1.2644661664962769
28,哥吉拉大戰金剛月日左哥吉拉右金剛,2,1.3437392711639404,2,1.3437392711639404
29,好多小盆栽好可愛好想買但是怕被養得很巨大就不可愛了😫拍拍照看看就好到此一遊🤪,1,1.985783338546753,1,2.10168194770813
30,十蚊隻十蚊隻,2,1.3784376382827759,2,1.3784376382827759
31,♥️鵝子想睡覺在鬧脾氣我老公問他你的小劇場演完了嗎我忍不住笑了🤣老公平時很無聊但他有很幽默的一面夫妻夫妻日常一家三口老公,1,1.9758130311965942,3,1.9187160730361938
32,這傢伙穿我的衣服一直說很大件,1,1.5934858322143555,1,1.5934858322143555
33,牛角麵包,2,1.2147916555404663,2,1.2147916555404663
34,人生中的不如意笑笑就會過了對吧⁉️,2,1.4255696535110474,2,1.4325026273727417
35,大家一起🤣,1,1.8015944957733154,1,1.6884685754776
36,你仍然有許多可以成長的地方心裡也還是會冒出我好像還可以更好但其實你知道嗎你已經很棒了每一小步每一次願意再繼續練習愛的決定每一個不舒服中的調整再出發都珍貴無比愛本來就是自找麻煩的一件事但如果可以再更多一點認識世紀的祢耶穌大哥我願意繼續記得你很棒很美好👸🏻🤴🏻愛的正在練習式,1,2.648387908935547,1,2.648387908935547
37,摘果当初予定島内限定販売思感染拡大島内全中止島外販売島内再開販売思保管作品年跨明後日月日金持行少感動周防大島竜崎温泉,1,1.369858980178833,1,1.369858980178833
38,先放個正常的🥴,2,1.2787185907363892,2,1.1999766826629639
39,終於拍完了終於拿去洗了終於見面了秋日光我好喜歡好喜歡好喜歡這裡能遇見真是太好了,3,2.577941417694092,3,2.577941417694092
