,page,id,text,like,love,care,haha,wow,sad,angry
0,tsaiingwen,10157868673876065,這兩天累計新增四名本土案例指揮中心已宣布強化機場防疫措施桃園市政府也在第一時間展開疫調匡列等防疫工作我也在昨晚與陳時中指揮官鄭文燦市長保持密切聯繫掌握疫情最新狀況中央地方會全力守住疫情防線本土案例的出現大家都要謹慎以對除了提高警覺落實防疫更重要的是盡快接種疫苗目前我們的疫苗覆蓋率第一劑第二劑指揮中心也已經開放全國接種第三劑疫苗請大家符合規定就可以盡快接種年我們繼續團結防疫守台灣➡️使用疫苗地圖來預約接種：,13131,106,1995,26,31,26,53
1,tsaiingwen,10157867628081065,改變家鄉就差你一票台中第二選區立委補選在這禮拜日月日就要投票我想要再次跟台中沙鹿霧峰大肚烏日龍井的朋友說如果想要改變地方政治文化勇敢站出來如果希望終結政治惡鬥勇敢站出來如果拒絕惡意罷免勇敢站出來如果支持優質立委也要勇敢站出來為了改變台中改變家鄉林靜儀醫師溫柔堅定新中二勇敢接棒一直拚但是改變要發生不能只有靜儀拚更需要大家一起拚特別是我要拜託年輕朋友一定要回家投票為家鄉拚這一次我們才能看到改變發生如果你有住在中二選區的親友我也想請你幫我打電話傳訊息給他們請他們一定要出來投票勇敢挺靜儀正義一定贏,17379,220,356,42,3,3,102
2,tsaiingwen,10157867409016065,你也喜歡跑馬拉松嗎今天有許多優秀的超馬選手來到總統府相信有關注馬拉松比賽的朋友都聽過羅維銘選手他不僅完成在紐約舉辦的地表最長超級馬拉松更以天小時分鐘又秒的時間拿下第名的好成績很多人透過影片看到羅維銘選手拿著國旗腳上穿著台灣製造人字拖衝過終點真的讓大家都非常感動還有幾位優秀的選手跑者包括在棲蘭越野賽分別奪下男女公里組冠軍周青選手和羅曉惠選手以及台灣小時超馬紀錄保持者同時身兼跑者和醫師的李俊昌選手以及正在規劃中央山脈大縱跑的古明政跑者我要謝謝各位選手在超馬界越野界的精采表現更持續挑戰自我極限爭取更好的成績讓世界看到台灣的體育成就新的一年政府也會持續增加體育預算給選手更好的照顧與支持,50685,607,284,101,206,2,45
3,tsaiingwen,10157867083816065,早安政策新制看這裡今天是新年第一個上班日我要向大家報告今年有許多政策新制上路包括基本工資調漲以及育兒津貼托育補助再加碼等過去一年我們為台灣打下許多重要基礎今年我們也會持續穩健執政讓台灣大步向前走歡迎大家一起把圖卡分享給更多人,17331,211,173,36,7,4,83
4,tsaiingwen,10157866238591065,這是靜儀的真心話請幫我傳給台中的朋友我們都知道靜儀這場選舉很辛苦她常常在地方上拜訪前腳才走後腳對手的電話就到了很多支持者看到靜儀也不敢直接站出來支持遞小紙條給她要她回去再看但是無論面對任何挑戰堅定地在正確的事情上堅定地為鄉親爭取最大的權益就是靜儀的溫柔堅定靜儀在台中接生超過七千個的小孩現在她更要讓他們有一個放心成長的未來有一個更好的選擇我們已經在改變的路上大家也都知道未來要怎麼選擇會更好但是如果沒有出來投票這些改變都不會發生月日下週日我們團結投給林靜儀正義一定會贏,19274,259,512,45,7,5,110
5,tsaiingwen,10157866125381065,下禮拜日就是台中第二選區立委補選我們的林靜儀醫師溫柔堅定新中二全力衝刺從早跑到晚努力拚出更多的支持靜儀在任何崗位上都是這麼認真她當醫生的時候去尼泊爾去印度去吉爾吉斯等地義診她說因為這些地方醫療環境不好多醫好一個人就是多幫助一個受苦的人幫助一個家庭靜儀當立委的時候無論專業或能力都受到肯定無論是政府官員國會議員還是記者都知道她做事最頂真陳柏惟被惡意罷免後靜儀更說身為台中人對故鄉有使命所以馬上答應我參加補選要勇敢接力贏回正義現在有人攻擊她不溫柔我要跟大家說靜儀做醫生做立委對沒有權力受了痛苦的人她一定很溫柔但是當台灣需要她站出來當人民需要她仗義執言她一定是最勇敢最強悍的那一個這就是靜儀的溫柔堅定我也要告訴大家這次補選不只是對台中很重要對台灣也很重要靜儀要改變台灣的政治文化用行動來證明服務是為了需要幫助的人不是為了幫助特權階級國會議員應該思考怎麼讓國家經濟更好不是整天想著讓自己的經濟更好補選還有一件重要的意義就是要讓台灣不要再亂下去過去這兩年有些人為了政治報復到處發動惡意罷免他們罷免陳柏惟還不夠下禮拜日還要發動投票無緣無故要罷免林昶佐這種惡質罷免的政治文化我們不能接受我要拜託沙鹿霧峰大肚烏日龍井的朋友如果想要改變地方政治文化勇敢站出來如果希望終結政治惡鬥勇敢站出來如果討厭惡意罷免勇敢站出來如果支持優質立委也要勇敢站出來最後七天我們大家一起改變政治文化一起終結政治惡鬥把林靜儀送回立法院勇敢選靜儀中二一定贏團結挺靜儀正義一定贏,46335,489,1274,67,12,11,122
6,tsaiingwen,502341054461039,各位鄉親朋友午安歡迎一起加入相挺林靜儀正義一定贏沙鹿場直播稍後我將來到現場為靜儀加油打氣距離選舉剩下最後七天拜託各位鄉親朋友一起幫我們拉票固票日立委補選請支持號林靜儀醫師溫柔堅定新中二👩‍⚕️🍀相挺林靜儀正義一定贏沙鹿場時間日-地點林靜儀沙鹿競選辦公室前台中市沙鹿區中山路號邀請來賓桃園市長鄭文燦屏東縣長潘孟安農委會主委陳吉仲立法院副院長蔡其昌林靜儀競選總部主任委員林佳龍林靜儀競選總部總幹事陳柏惟主持人立法委員何欣純堅持張廖萬堅,9144,776,295,47,13,11,107
7,tsaiingwen,10157864312411065,年第一天大家新年快樂今天早上我發表了新年談話向全體國人報告我們年的執政方向新的一年我們要持續帶領中華民國台灣穩健發展持續走向世界維持經濟發展動能鞏固社會安全體系堅守國家主權就是我們年穩健執政的四大主軸以下是我的新年談話全文各位媒體朋友收看直播的朋友全體國人同胞以及全世界關心台灣的朋友們大家早安今天是元旦首先祝大家新年快樂過去一年對台灣來說是特別的一年我們一起度過因為疫情而震盪起伏的幾個月一起走過為了四項公投從連署到投票的公共討論歷程公投歷程說明了台灣正逐漸成為一個成熟的公民社會當挑戰來的時候大家對於該怎麼做怎麼回應也許會有不同的意見和想法但是當我們透過民主機制解決了問題社會就會很快的恢復平靜運作如常而疫情更是考驗台灣人民的團結以及公民的素質謝謝這一年來所有台灣人民的努力當我們團結一致當我們相信民主機制台灣就能克服種種的挑戰去年的台灣也有不少的好消息我們的經濟成長率預估來到年來的新高股市的大盤指數也在一年內上漲超過最近更創下了歷史新高去年台灣每人首次超過萬美元如果以購買力平價計算每人更已經超過許多國家的水準另外也預測台灣將在明年重返全球前大經濟體但在我們眼前還有許多挑戰全球疫情依然是嚴峻讓復甦充滿了不確定性通膨房價以及可能再起的疫情都是我們在經濟成長的同時必須要嚴肅面對的課題此外如何在下半年激烈的選舉競爭中保持穩健的政經腳步如何在中國不斷增加的軍事和外交壓力之下堅持守住自由民主堅持走向世界的共識也都是年的台灣必須要積極面對的挑戰持續走向世界維持經濟發展動能鞏固社會安全體系堅守國家主權這就是我們年穩健執政的四大主軸持續走向世界去年四大公投的結果顯示了台灣人走向世界的決心新的一年我們仍然會就國際經貿多元布局走出對單一市場的依賴做出更多的努力除了我們持續推動新南向政策深化跟新南向國家的合作交流我們也希望台美對話更加深入為將來的打好基礎我們也會全力爭取的會員國對台灣加入的支持同時我們將提出強化歐洲鏈結計畫促進台歐之間的密切交流維持經濟發展動能在維持經濟動能方面這幾年來面對全球變局民間企業展現了強大的韌性配合政府大力推動五加二六大核心戰略產業讓台灣產業的競爭力全面提升成為全球經濟發展的關鍵力量現在台灣已經是全球半導體製造產業的領導者未來無論是智慧城市的解決方案綠色能源的布建或者是電動車等等的晶片需求台灣都扮演了極為關鍵的角色在全球數位轉型和因應氣候變遷的成敗上台灣也是不可或缺的重要環節台商的動向更將牽動全球產業鏈的布局未來我們必須不斷增強台灣產業的影響力和競爭力因此新的一年我們會持續推動能源轉型也會以前瞻而且務實可行的方式提出淨零排放的路徑圖讓整體經濟結構的轉型有所依循另外行政院也已經宣布投資台灣三大方案將再延長三年我們預計可以再為台灣帶來千億元的投資和萬個工作機會在維持經濟動能的同時我們必須有效的因應通膨房價上漲的趨勢使得經濟成長的果實能夠化為實質所得的增加以及生活水準的提高物價和房價上漲是今年全世界都要面臨的挑戰去年下半年以來我們運用公用事業緩漲機制以及健全房地產市場方案的選擇性金融管制稅改和行政查察措施讓物價和房價的漲幅比其他國家稍微溫和未來我們會繼續運用各種政策工具來確保物價平穩另外我們也會透過穩定物價小組健全房市小組強力遏制不法炒作及囤積今天開始基本薪資調高到萬元比起去年調幅達到等到總預算通過軍公教也將調薪希望能夠刺激帶動民間加薪這將有助於減緩通膨的衝擊社會住宅的供給也將提供年輕人及弱勢者合理價格的居住空間去年我們宣布啟動案萬戶的史上最大規模社會住宅興建案這些都在陸續發包中發包興建中或已興建完成的社會住宅現在已經累計達萬戶展望年我們除了加速社會住宅的興建計畫也將推動長者換居旅館轉型把去年已經擴大到萬戶規模的包租代管方案繼續加速推廣出去另外從前年起我們也擴大了租金補貼依照不同縣市地區提供年輕朋友或家庭每個月數千元不等的補貼今年也會持續下去鞏固社會安全體系增加社會福利降低生養照顧的負擔不僅是分配問題更是社會安全問題我們將持續鞏固社會安全體系去年長照的服務據點已經超過一萬個遍布全國各地今年的長照預算將達到億元並且將持續布建據點和增加服務為了強化社會安全網我們會持續增加公部門社工以及相關專業人員今年將新增超過千人也會補助私部門社工人來減輕社工的工作負荷也提升保障弱勢家庭的量能在去年育兒津貼加碼之後今年月還會再加碼到千元公共化幼兒園千班的目標明年會提前達標去年所有提供公共化非營利和準公共化幼兒園的園所數已經大幅成長過去家長反映抽到公立幼兒園的機會只有三成現在已經提高到六成可以進入平價優質的幼兒園去年母親節時我說政府要當孩子家長的神隊友在今年產檢假會增加到七天而且配偶也可以請陪產檢假我們將持續檢討增加補助強化各方面的措施降低養兒育女的負擔到歲國家跟你一起養我們說到就一定做到堅守國家主權新的一年穩健執政是我們最重要的目標我們會堅守主權堅持自由民主的價值捍衛領土主權與國家安全維持印太地區的和平穩定我們將會持續關注香港的情勢前一陣子香港的立法會換屆選舉受到了干擾讓人更擔心香港的民主發展而幾天前香港政府拘捕了多位媒體人讓人更擔憂香港的人權與言論自由追求民主自由不是犯罪台灣挺香港的立場也不會改變除了關心我們更要珍惜我們得來不易的民主自由讓台灣更好讓全世界都看見民主台灣有勇氣走出威權中國的陰影不會屈服在壓力之下最後我想談一下兩岸關係面對疫情下的經濟新情勢兩岸有各自的挑戰也有各自對人民的福祉所應該承擔的責任同時我們雙方也共同肩負維持區域和平穩定的責任這些年來我們持續呼籲對岸不要剝奪香港的民主與人權也嚴正抗議針對我方的軍事侵擾及外交打壓對岸的這些行為都無助於維持區域的和平穩定我們的立場向來是遇到壓力不屈服得到支持不冒進而我們同時也要提醒北京當局不要誤判情勢更要防止內部軍事冒進主義的擴張軍事絕對不是解決兩岸分歧的選項軍事衝突將衝擊經濟穩定各自努力照顧好人民的生活安定社會民心兩岸才會有空間和氛圍以和平的方式共同面對問題共同尋求解方這也會讓區域的緊張情勢有所緩解今年的元旦主題是堅韌台灣立足世界台灣做得到因為台灣有堅韌的你謝謝去年一年台灣人民的付出和努力今年我們也要一起克服挑戰大步前進祝大家年新年快樂謝謝大家,58010,894,618,130,19,12,188
8,tsaiingwen,461700405307593,大家早安新年快樂我和賴清德副總統正在總統府內發表新年談話歡迎大家一起加入直播並分享,6582,1124,122,31,4,13,63
9,tsaiingwen,10157863925231065,大家早安新年快樂稍後我將和賴清德副總統在總統府內發表新年談話歡迎大家一起加入直播並分享,12732,212,100,19,0,1,55
