,page,id,text,like,love,care,haha,wow,sad,angry
0,tsaiingwen,10157868673876065,"這兩天累計新增四名本土案例，指揮中心已宣布強化機場防疫措施，桃園市政府也在第一時間展開疫調、匡列等防疫工作。

我也在昨晚與 #陳時中 指揮官、 鄭文燦 市長，保持密切聯繫，掌握疫情最新狀況，中央地方會全力守住疫情防線。

本土案例的出現，大家都要謹慎以對，除了提高警覺、落實防疫，更重要的是，#盡快接種疫苗。

目前我們的疫苗覆蓋率第一劑80.04%、第二劑69.3%。指揮中心也已經開放全國接種第三劑疫苗，請大家符合規定，就可以盡快接種。

2022年，我們繼續團結防疫守台灣！

➡️使用疫苗地圖來預約接種：https://antiflu.cdc.gov.tw/Covid19",13131,106,1995,26,31,26,53
1,tsaiingwen,10157867628081065,"#改變家鄉就差你一票

台中第二選區立委補選，在這禮拜日、1月9日，就要投票。我想要再次跟台中沙鹿、霧峰、大肚、烏日、龍井的朋友說：

如果想要改變地方政治文化，勇敢站出來。如果希望終結政治惡鬥，勇敢站出來。如果拒絕惡意罷免，勇敢站出來。如果支持優質立委，也要勇敢站出來。

為了改變台中、改變家鄉， 林靜儀醫師 溫柔堅定新中二 勇敢接棒，一直拚。但是改變要發生，不能只有靜儀拚，更需要大家一起拚。特別是，我要拜託年輕朋友，一定要回家投票，為家鄉拚這一次，我們才能看到改變發生。

如果你有住在中二選區的親友，我也想請你幫我打電話、傳訊息給他們，請他們一定要出來投票。勇敢挺靜儀，正義一定贏！",17379,220,356,42,3,3,102
2,tsaiingwen,10157867409016065,"你也喜歡跑馬拉松嗎？

今天有許多優秀的超馬選手來到總統府，相信有關注馬拉松比賽的朋友，都聽過 #羅維銘 選手，他不僅完成在紐約舉辦的 #地表最長超級馬拉松，更以「48天11小時52分鐘又1秒」的時間，拿下第2名的好成績。

很多人透過影片，看到羅維銘選手拿著國旗、腳上穿著台灣製造「人字拖」衝過終點，真的讓大家都非常感動。

還有幾位優秀的選手跑者，包括在棲蘭越野賽分別奪下男女100公里組冠軍—周青選手和羅曉惠選手，以及「台灣48小時超馬紀錄保持者」、同時身兼跑者和醫師的李俊昌選手，以及正在規劃中央山脈大縱「跑」的古明政跑者。

我要謝謝各位選手在超馬界、越野界的精采表現，更持續挑戰自我極限，爭取更好的成績，讓世界看到台灣的體育成就。

新的一年，政府也會持續增加體育預算，給選手更好的照顧與支持！",50685,607,284,101,206,2,45
3,tsaiingwen,10157867083816065,"早安！2022政策新制看這裡！

今天是新年第一個上班日，我要向大家報告，今年有許多政策新制上路，包括基本工資調漲，以及育兒津貼、托育補助再加碼等。

過去一年，我們為台灣打下許多重要基礎，今年我們也會持續穩健執政，讓台灣大步向前走。歡迎大家一起把圖卡分享給更多人。",17331,211,173,36,7,4,83
4,tsaiingwen,10157866238591065,"#這是靜儀的真心話
#請幫我傳給台中的朋友

我們都知道，靜儀這場選舉很辛苦，她常常在地方上拜訪，前腳才走，後腳對手的電話就到了。很多支持者看到靜儀，也不敢直接站出來支持，遞小紙條給她，要她「回去再看」。

但是，無論面對任何挑戰，堅定地在正確的事情上，堅定地為鄉親爭取最大的權益，就是靜儀的溫柔堅定。

靜儀在台中接生超過七千個的小孩，現在，她更要讓他們有一個放心成長的未來，有一個更好的選擇。

我們已經在改變的路上，大家也都知道，未來要怎麼選擇會更好。但是，如果沒有出來投票，這些改變，都不會發生。

1月9日，下週日，我們團結投給林靜儀，正義一定會贏。",19274,259,512,45,7,5,110
5,tsaiingwen,10157866125381065,"下禮拜日，就是台中第二選區立委補選，我們的 林靜儀醫師 溫柔堅定新中二全力衝刺，從早跑到晚，努力拚出更多的支持。

靜儀在任何崗位上，都是這麼認真。她當醫生的時候，去尼泊爾、去印度、去吉爾吉斯等地義診，她說因為這些地方醫療環境不好，多醫好一個人，就是多幫助一個受苦的人、幫助一個家庭。

靜儀當立委的時候，無論專業或能力，都受到肯定。無論是政府官員、國會議員，還是記者，都知道她做事最「頂真」。

3Qi.tw 陳柏惟 被惡意罷免後，靜儀更說身為台中人，對故鄉有使命，所以馬上答應我參加補選，要「勇敢接力，贏回正義」。

現在有人攻擊她不溫柔，我要跟大家說，靜儀做醫生、做立委，對沒有權力、受了痛苦的人，她一定很溫柔。但是當台灣需要她站出來、當人民需要她仗義執言，她一定是最勇敢、最強悍的那一個。這就是靜儀的 #溫柔堅定。

我也要告訴大家，這次補選，不只是對台中很重要，對台灣也很重要。靜儀要改變台灣的政治文化，用行動來證明，服務是為了需要幫助的人，不是為了幫助特權階級，國會議員應該思考怎麼讓國家經濟更好，不是整天想著讓自己的經濟更好。

補選還有一件重要的意義，就是要讓台灣不要再亂下去。過去這兩年，有些人為了政治報復，到處發動惡意罷免。他們罷免陳柏惟還不夠，下禮拜日，還要發動投票，無緣無故要罷免 林昶佐 Freddy Lim 。

這種惡質罷免的政治文化，我們不能接受。

我要拜託沙鹿、霧峰、大肚、烏日、龍井的朋友，如果想要改變地方政治文化，勇敢站出來。如果希望終結政治惡鬥，勇敢站出來。如果討厭惡意罷免，勇敢站出來。如果支持優質立委，也要勇敢站出來。

最後七天，我們大家一起改變政治文化、一起終結政治惡鬥，把林靜儀送回立法院，勇敢選靜儀，中二一定贏，團結挺靜儀，正義一定贏。",46335,489,1274,67,12,11,122
6,tsaiingwen,502341054461039,"各位鄉親朋友午安！歡迎一起加入「相挺林靜儀 正義一定贏」沙鹿場直播！稍後我將來到現場，為靜儀加油打氣！

距離選舉剩下最後七天，拜託各位鄉親朋友一起幫我們拉票！固票！

1/9 (日) 立委補選，請支持 4 號 林靜儀醫師 溫柔堅定新中二👩‍⚕

🍀 「相挺林靜儀 正義一定贏」沙鹿場
時間：1/2（日）15:00-17:00
地點：林靜儀沙鹿競選辦公室前（台中市沙鹿區中山路 537 號）
邀請來賓：桃園市長 鄭文燦、屏東縣長 潘孟安、農委會主委 陳吉仲、立法院副院長 蔡其昌、林靜儀競選總部主任委員 林佳龍、林靜儀競選總部總幹事 3Qi.tw 陳柏惟
主持人：立法委員 何欣純、 堅持．張廖萬堅",9144,776,295,47,13,11,107
7,tsaiingwen,10157864312411065,"2022年第一天，大家新年快樂！

今天早上我發表了新年談話，向全體國人報告我們2022年的執政方向。新的一年，我們要持續帶領中華民國台灣穩健發展。

持續走向世界、維持經濟發展動能、鞏固社會安全體系、堅守國家主權，就是我們2022年穩健執政的四大主軸。

以下是我的新年談話全文：

各位媒體朋友、收看直播的朋友、全體國人同胞，以及全世界關心台灣的朋友們，大家早安。

今天是元旦，首先祝大家新年快樂。

過去一年對台灣來說，是特別的一年。我們一起度過因為疫情而震盪起伏的幾個月；一起走過為了四項公投，從連署到投票的公共討論歷程。

公投歷程說明了，台灣正逐漸成為一個成熟的公民社會，當挑戰來的時候，大家對於該怎麼做、怎麼回應，也許會有不同的意見和想法；但是當我們透過民主機制，解決了問題，社會就會很快的恢復平靜，運作如常。

而疫情更是考驗台灣人民的團結，以及公民的素質。謝謝這一年來，所有台灣人民的努力。當我們團結一致，當我們相信民主機制，台灣就能克服種種的挑戰。

去年的台灣，也有不少的好消息。我們的經濟成長率，預估來到11年來的新高，股市的大盤指數，也在一年內上漲超過23%，最近更創下了歷史新高。

去年台灣每人GDP，首次超過3萬美元，如果以購買力平價計算，每人GDP更已經超過許多OECD國家的水準。另外，IMF也預測，台灣將在明年重返全球前20大經濟體。

但在我們眼前，還有許多挑戰。全球疫情依然是嚴峻，讓復甦充滿了不確定性。通膨、房價，以及可能再起的疫情，都是我們在經濟成長的同時，必須要嚴肅面對的課題。

此外，如何在下半年激烈的選舉競爭中，保持穩健的政經腳步。如何在中國不斷增加的軍事和外交壓力之下，堅持守住自由民主，堅持走向世界的共識，也都是2022年的台灣，必須要積極面對的挑戰。

持續走向世界、維持經濟發展動能、鞏固社會安全體系、堅守國家主權，這就是我們2022年穩健執政的四大主軸。

#持續走向世界

去年四大公投的結果，顯示了台灣人走向世界的決心。新的一年，#我們仍然會就國際經貿多元布局，走出對單一市場的依賴，做出更多的努力。

除了我們持續推動新南向政策，#深化跟新南向國家的合作交流，我們也希望台美TIFA對話更加深入，為將來的FTA打好基礎。

我們也會全力爭取CPTPP的會員國，對台灣加入的支持。同時，我們將提出「強化歐洲鏈結計畫」，#促進台歐之間的密切交流。

#維持經濟發展動能

在維持經濟動能方面，這幾年來，面對全球變局，民間企業展現了強大的韌性，配合政府大力推動五加二、六大核心戰略產業，#讓台灣產業的競爭力全面提升，成為全球經濟發展的關鍵力量。

現在，台灣已經是全球半導體製造產業的領導者。未來，無論是智慧城市的解決方案、綠色能源的布建，或者是電動車等等的晶片需求，台灣都扮演了極為關鍵的角色。

在全球數位轉型和因應氣候變遷的成敗上，台灣也是不可或缺的重要環節；台商的動向，更將牽動全球產業鏈的布局。

未來，我們必須不斷增強台灣產業的影響力和競爭力。因此新的一年，我們會持續推動能源轉型，也會以前瞻、而且務實可行的方式，#提出淨零排放的路徑圖，讓整體經濟結構的轉型有所依循。

另外，行政院也已經宣布，「投資台灣三大方案」將再延長三年，我們預計，可以再為台灣帶來9千億元的投資，和4萬個工作機會。

在維持經濟動能的同時，我們必須有效的因應通膨、房價上漲的趨勢，使得經濟成長的果實，能夠化為實質所得的增加，以及生活水準的提高。

物價和房價上漲，是今年全世界都要面臨的挑戰。去年下半年以來，我們運用公用事業緩漲機制，以及「健全房地產市場方案」的選擇性金融管制、稅改和行政查察措施，讓物價和房價的漲幅比其他國家稍微溫和。

未來，我們會繼續運用各種政策工具，來確保物價平穩。另外，我們也會透過穩定物價小組、健全房市小組，強力遏制不法炒作及囤積。

今天開始，基本薪資調高到2萬5,250元，比起去年調幅達到5.21%。等到總預算通過，軍公教也將調薪4%，希望能夠刺激、帶動民間加薪，這將有助於減緩通膨的衝擊。

社會住宅的供給，也將提供年輕人及弱勢者合理價格的居住空間。去年我們宣布啟動50案、1.5萬戶的史上最大規模社會住宅興建案，這些都在陸續發包中。發包、興建中、或已興建完成的社會住宅，現在已經累計達5萬戶。

展望2022年，我們除了加速社會住宅的興建計畫，也將推動「長者換居」、旅館轉型，把去年已經擴大到1.6萬戶規模的「包租代管」方案，繼續加速推廣出去。

另外，從前年起，我們也擴大了租金補貼，依照不同縣市地區，提供年輕朋友或家庭，每個月數千元不等的補貼，今年也會持續下去。

#鞏固社會安全體系

增加社會福利，降低生養、照顧的負擔，不僅是分配問題，更是社會安全問題；我們將持續鞏固社會安全體系。

去年，長照2.0的服務據點，已經超過一萬個，遍布全國各地；今年的長照預算將達到607億元，並且將持續布建據點和增加服務。

為了強化社會安全網，我們會持續增加公部門社工以及相關專業人員；今年將新增超過5千人，也會補助私部門社工1,454人，來減輕社工的工作負荷，也提升保障弱勢家庭的量能。

在去年育兒津貼加碼之後，今年8月還會再加碼到5千元。公共化幼兒園3千班的目標，明年會提前達標。

去年所有提供公共化、非營利和準公共化幼兒園的園所數，已經大幅成長。過去家長反映抽到公立幼兒園的機會只有三成，現在已經提高到六成，可以進入平價優質的幼兒園。

去年母親節時，我說政府要當孩子家長的神隊友，在今年，#產檢假會增加到七天，而且配偶也可以請陪產檢假。

我們將持續檢討、增加補助，強化各方面的措施，降低養兒育女的負擔。 #0到6歲國家跟你一起養，我們說到就一定做到。

#堅守國家主權

新的一年，「穩健執政」，是我們最重要的目標。我們會堅守主權、堅持自由民主的價值，捍衛領土主權與國家安全，維持印太地區的和平穩定。

我們將會持續關注香港的情勢。前一陣子，香港的立法會換屆選舉，受到了干擾，讓人更擔心香港的民主發展。而幾天前，香港政府拘捕了多位媒體人，讓人更擔憂香港的人權與言論自由。

追求民主自由不是犯罪， #台灣挺香港的立場也不會改變。除了關心，我們更要珍惜我們得來不易的民主自由，讓台灣更好，讓全世界都看見民主台灣，有勇氣走出威權中國的陰影，不會屈服在壓力之下。

最後，我想談一下兩岸關係。

面對疫情下的經濟新情勢，兩岸有各自的挑戰，也有各自對人民的福祉，所應該承擔的責任。同時，我們雙方也共同肩負維持區域和平穩定的責任。

這些年來，我們持續呼籲對岸不要剝奪香港的民主與人權，也嚴正抗議針對我方的軍事侵擾及外交打壓。對岸的這些行為，都無助於維持區域的和平穩定。

我們的立場向來是「遇到壓力不屈服，得到支持不冒進」；而我們同時也要提醒北京當局，不要誤判情勢，更要防止內部「軍事冒進主義」的擴張。

#軍事絕對不是解決兩岸分歧的選項。軍事衝突將衝擊經濟穩定。各自努力照顧好人民的生活，安定社會民心，兩岸才會有空間和氛圍，以和平的方式，共同面對問題、共同尋求解方。這也會讓區域的緊張情勢有所緩解。

今年的元旦主題是「堅韌台灣，立足世界」。台灣做得到，因為台灣有堅韌的你。謝謝去年一年，台灣人民的付出和努力；今年，我們也要一起克服挑戰、大步前進，祝大家2022年，新年快樂，謝謝大家。",58010,894,618,130,19,12,188
8,tsaiingwen,10157864065831065,蔡英文 Tsai Ing-wen,21,0,0,6,0,0,0
9,tsaiingwen,461700405307593,大家早安，新年快樂！我和 賴清德 副總統正在總統府內發表「2022新年談話」，歡迎大家一起加入直播並分享！,6582,1124,122,31,4,13,63
